event_date,close_price_usd,market_cap_usd,volume_usd
2025-03-30 00:00:00 UTC,37.545916699162845,576130071.3611887,66523164.76678103
2025-03-31 00:00:00 UTC,39.17201219904431,599703975.3759527,61540745.15047696
2025-04-01 00:00:00 UTC,41.05129897872931,625661907.0078278,75284152.61296141
2025-04-02 00:00:00 UTC,38.90922500720061,655903660.1501509,82480465.54866762
2025-04-03 00:00:00 UTC,39.775620835426736,622509902.080193,79124904.57294926
2025-04-04 00:00:00 UTC,39.972999992839405,637285845.3548918,78580978.50917564
2025-04-05 00:00:00 UTC,37.63789162060855,639020666.6122007,81812452.90064253
2025-04-06 00:00:00 UTC,36.95382774608086,607900726.4018178,29728469.99123646
2025-04-07 00:00:00 UTC,34.23381408715125,588201059.8618587,77650921.06164531
2025-04-08 00:00:00 UTC,34.87375264239419,553987082.5499728,115954096.00142922
2025-04-09 00:00:00 UTC,36.777822943986145,557814105.2341719,78830050.91735034
2025-04-10 00:00:00 UTC,36.64562987317775,588373394.119054,124960677.02202056
2025-04-11 00:00:00 UTC,35.689898991345025,586522159.735028,113263881.20724624
2025-04-12 00:00:00 UTC,35.544215745807364,571442392.3336743,106904244.10203496
2025-04-13 00:00:00 UTC,32.13161858012143,568663858.5891604,71486506.48545092
2025-04-14 00:00:00 UTC,31.16346772152172,512967283.425865,90412890.34607844
2025-04-15 00:00:00 UTC,30.895060370603595,498743569.4432599,52720220.94367221
2025-04-16 00:00:00 UTC,31.05809314449178,494534359.5625836,68676796.70360002
2025-04-17 00:00:00 UTC,30.696909044845924,498616471.2205423,25183633.706784338
2025-04-18 00:00:00 UTC,30.918630493310474,491540663.269494,23022502.626747977
2025-04-19 00:00:00 UTC,31.74384886715197,495011509.18408275,21628084.78033371
2025-04-20 00:00:00 UTC,30.979970307923605,508271313.56670135,55263004.22880813
2025-04-21 00:00:00 UTC,31.207615702187013,496159145.585748,20777652.72704718
2025-04-22 00:00:00 UTC,33.29105534294047,499800157.75381327,26158638.694865488
2025-04-23 00:00:00 UTC,34.44042746124892,533441833.16915506,69956169.92442906
2025-04-24 00:00:00 UTC,34.36380997130205,551363094.4393799,68648322.81882785
2025-04-25 00:00:00 UTC,34.51980856039717,550609161.1886129,66032872.782109395
2025-04-26 00:00:00 UTC,33.587413885159854,546382211.918485,62436666.888170645
2025-04-27 00:00:00 UTC,32.67911451495189,537177030.8330157,62819969.93522861
2025-04-28 00:00:00 UTC,35.63403823432742,524745496.772092,56564762.26348832
2025-04-29 00:00:00 UTC,34.49159065622139,571191263.4192793,59011129.4315085
2025-04-30 00:00:00 UTC,36.060891356904136,553108570.2786816,31801815.63016129
2025-05-01 00:00:00 UTC,37.755068673009056,578258742.4750626,17292089.816546414
2025-05-02 00:00:00 UTC,36.18669776376717,605481270.5409386,65814956.862793185
2025-05-03 00:00:00 UTC,36.02193421086313,580389755.0220624,17918888.84812574
2025-05-04 00:00:00 UTC,35.79495234488896,579858023.4302697,62065050.56127814
2025-05-05 00:00:00 UTC,36.6990628349138,573083115.1001682,53701352.00787605
2025-05-06 00:00:00 UTC,37.93496870669328,588491431.2031822,60464193.85130084
2025-05-07 00:00:00 UTC,40.507435686783445,608437222.1707479,65466276.131054245
2025-05-08 00:00:00 UTC,41.94258485274278,649356246.2939783,76415219.30584973
2025-05-09 00:00:00 UTC,42.21732997972355,672508555.1404319,70975155.83236592
2025-05-10 00:00:00 UTC,43.47788131731793,677577568.8150787,76187412.01257652
2025-05-11 00:00:00 UTC,45.19091978660723,698481318.6833506,70310508.06062962
2025-05-12 00:00:00 UTC,44.54836051636526,725446030.2731978,28023317.32083275
2025-05-13 00:00:00 UTC,43.41240939028505,715317944.5497962,72376078.23067378
2025-05-14 00:00:00 UTC,41.878642136302375,696909917.1190287,65919201.294631355
2025-05-15 00:00:00 UTC,42.2508137098835,672277286.9433787,71139195.51764879
2025-05-16 00:00:00 UTC,40.49154770197676,678218463.4783278,71690348.94133532
2025-05-17 00:00:00 UTC,40.35557619481757,650584060.9783026,15021082.891803889
2025-05-18 00:00:00 UTC,41.784260287809005,648020036.9921571,18675908.9133786
2025-05-19 00:00:00 UTC,41.03923442420739,671065280.1042265,67112878.7713213
2025-05-20 00:00:00 UTC,41.16018831793165,659256343.1277037,73680755.89818789
2025-05-21 00:00:00 UTC,42.66352996795643,662292625.2996045,63437463.3801214
2025-05-22 00:00:00 UTC,48.717586142781975,684912055.5836301,70787578.4232804
2025-05-23 00:00:00 UTC,47.4566722859296,783008825.1445029,99633582.79682794
2025-05-24 00:00:00 UTC,48.91660132739981,762678600.066358,87846712.77335897
2025-05-25 00:00:00 UTC,54.46844551981079,786229362.643875,63871761.09958902
2025-05-26 00:00:00 UTC,54.37035027232939,875271667.914322,105275151.9358596
2025-05-27 00:00:00 UTC,51.865461671398066,873880832.000134,97182260.59920128
2025-05-28 00:00:00 UTC,53.843226153451155,833941937.2906103,98048380.16349174
2025-05-29 00:00:00 UTC,53.7217252671111,866214618.7336514,93429795.8135796
2025-05-30 00:00:00 UTC,48.35333920346904,864053428.6237035,91158422.4862517
2025-05-31 00:00:00 UTC,50.102740153006955,778938357.8237526,75046607.03018036
2025-06-01 00:00:00 UTC,53.059095316642235,805659394.599953,78302071.01483606
2025-06-02 00:00:00 UTC,54.06976418049039,853240110.2860281,85067117.30189027
2025-06-03 00:00:00 UTC,54.54606757350199,869349559.5439712,25896156.45887689
2025-06-04 00:00:00 UTC,50.277490003683006,875759980.8505495,93135742.95395562
2025-06-05 00:00:00 UTC,47.85635417245247,808468226.191191,79430436.76644088
2025-06-06 00:00:00 UTC,48.04772599394854,769607993.358689,83356020.26057343
2025-06-07 00:00:00 UTC,50.11261954477029,772714507.9591756,74847877.71399292
2025-06-08 00:00:00 UTC,48.77325978291453,806852468.3700966,65151766.28831499
2025-06-09 00:00:00 UTC,51.49563094854637,785877717.6225222,14500138.091502706
2025-06-10 00:00:00 UTC,51.79972947739954,828489495.6348056,22466743.428671204
2025-06-11 00:00:00 UTC,50.050098636625144,834663553.9725655,24423598.3451536
2025-06-12 00:00:00 UTC,48.07569291368186,807707336.357623,27341823.69659669
2025-06-13 00:00:00 UTC,45.21602425735104,774317079.1498584,27539669.871531375
2025-06-14 00:00:00 UTC,44.13929413147276,728291119.9527982,28508368.520080037
2025-06-15 00:00:00 UTC,43.424880480350254,711148646.6315477,17566886.56059131
2025-06-16 00:00:00 UTC,43.15893778569552,699637418.5981071,13881184.923224576
2025-06-17 00:00:00 UTC,41.16602963985464,697760755.4375135,23656108.77371432
2025-06-18 00:00:00 UTC,42.11173825367171,664428933.982843,21171167.46915826
2025-06-19 00:00:00 UTC,41.69782431587534,678117808.6441548,19408139.08074248
2025-06-20 00:00:00 UTC,40.30014111339583,671988082.431954,10851223.444606423
